Block,timestamp,Amount,Balance,@Price,Balance USD,Realized price
671878 2021-02-24 08:15:58,2021-02-24 08:15:58,600.0,90066.64789447,"$4,325,797,186 @ $48,028.85",3041013182.0,3041013182.0
671293 2021-02-20 01:34:06,2021-02-20 01:34:06,505.0,89466.64789447,"$4,875,094,530 @ $54,490.64",3619127833.0,3619127833.0
671196 2021-02-19 10:34:29,2021-02-19 10:34:29,484.0,88961.64789447,"$4,545,650,914 @ $51,096.75",3317201989.0,3317201989.0
671195 2021-02-19 10:25:20,2021-02-19 10:25:20,585.0,88477.64789447,"$4,520,920,088 @ $51,096.75",3317201989.0,3317201989.0
671194 2021-02-19 10:20:27,2021-02-19 10:20:27,686.0,87892.64789447,"$4,491,028,490 @ $51,096.75",3317201989.0,3317201989.0
671063 2021-02-18 11:01:49,2021-02-18 11:01:49,660.0,87206.64789447,"$4,549,974,329 @ $52,174.63",3411200197.0,3411200197.0
671061 2021-02-18 10:31:24,2021-02-18 10:31:24,1888.0,86546.64789447,"$4,515,539,076 @ $52,174.63",3411200197.0,3411200197.0
671058 2021-02-18 10:11:45,2021-02-18 10:11:45,560.0,84658.64789447,"$4,417,033,380 @ $52,174.63",3411200197.0,3411200197.0
670480 2021-02-14 07:42:45,2021-02-14 07:42:45,5.47e-06,84098.64789447,"$3,970,326,311 @ $47,210.35",2993710919.0,2993710919.0
669783 2021-02-09 09:47:08,2021-02-09 09:47:08,0.025,84098.647889,"$3,904,546,194 @ $46,428.17",2927930802.0,2927930802.0
669744 2021-02-09 04:21:06,2021-02-09 04:21:06,-1500.005,84098.622889,"$3,709,295,982 @ $44,106.5",2732681752.0,2732681752.0
669086 2021-02-05 03:19:22,2021-02-05 03:19:22,-1500.005,85598.627889,"$3,183,443,158 @ $37,190.35",2140668956.0,2140668956.0
668256 2021-01-30 07:24:43,2021-01-30 07:24:43,-3000.01,87098.632889,"$2,970,239,488 @ $34,102.02",1871679570.0,1871679570.0
668232 2021-01-30 03:06:10,2021-01-30 03:06:10,-6000.005,90098.642889,"$3,128,278,019 @ $34,720.59",1927411695.0,1927411695.0
668204 2021-01-29 23:29:27,2021-01-29 23:29:27,-700.002,96098.647889,"$3,586,468,648 @ $37,320.7",2177278611.0,2177278611.0
668179 2021-01-29 20:00:28,2021-01-29 20:00:28,5.47e-06,96798.649889,"$3,571,878,436 @ $36,900.09",2136563837.0,2136563837.0
668125 2021-01-29 11:07:32,2021-01-29 11:07:32,-1500.001,96798.64988353,"$3,289,496,869 @ $33,982.88",1854182270.0,1854182270.0
668024 2021-01-28 19:07:54,2021-01-28 19:07:54,-1500.001,98298.65088353,"$3,072,763,993 @ $31,259.47",1586475040.0,1586475040.0
667108 2021-01-22 11:51:36,2021-01-22 11:51:36,0.0005,99798.65188353,"$3,051,744,939 @ $30,579.02",1518566746.0,1518566746.0
667096 2021-01-22 10:10:12,2021-01-22 10:10:12,277.0,99798.65138353,"$3,025,090,157 @ $30,311.93",1491911979.0,1491911979.0
667095 2021-01-22 09:36:34,2021-01-22 09:36:34,307.0,99521.65138353,"$2,940,212,986 @ $29,543.45",1415431213.0,1415431213.0
667092 2021-01-22 09:15:12,2021-01-22 09:15:12,889.0,99214.65138353,"$2,931,143,146 @ $29,543.45",1415431213.0,1415431213.0
666964 2021-01-21 09:46:53,2021-01-21 09:46:53,760.0,98325.65138353,"$3,441,663,712 @ $35,002.7",1952215906.0,1952215906.0
666963 2021-01-21 09:36:19,2021-01-21 09:36:19,885.0,97565.65138353,"$3,415,061,656 @ $35,002.7",1952215906.0,1952215906.0
666841 2021-01-20 11:50:15,2021-01-20 11:50:15,279.0,96680.65138353,"$3,447,950,484 @ $35,663.29",2016082128.0,2016082128.0
666836 2021-01-20 10:35:56,2021-01-20 10:35:56,400.0,96401.65138353,"$3,468,619,499 @ $35,980.91",2046701201.0,2046701201.0
666834 2021-01-20 10:23:18,2021-01-20 10:23:18,350.0,96001.65138353,"$3,454,227,133 @ $35,980.91",2046701201.0,2046701201.0
666829 2021-01-20 10:05:48,2021-01-20 10:05:48,300.0,95651.65138353,"$3,441,633,813 @ $35,980.91",2046701201.0,2046701201.0
666567 2021-01-18 14:58:58,2021-01-18 14:58:58,0.00014116,95351.65138353,"$3,364,241,106 @ $35,282.46",1980102767.0,1980102767.0
666131 2021-01-15 15:09:53,2021-01-15 15:09:53,5.47e-06,95351.65124237,"$3,638,065,533 @ $38,154.2",2253927199.0,2253927199.0
666097 2021-01-15 09:40:49,2021-01-15 09:40:49,255.0,95351.6512369,"$3,762,645,521 @ $39,460.73",2378507188.0,2378507188.0
666096 2021-01-15 09:36:56,2021-01-15 09:36:56,0.0001,95096.6512369,"$3,752,583,036 @ $39,460.73",2378507188.0,2378507188.0
666082 2021-01-15 07:21:42,2021-01-15 07:21:42,281.0,95096.6511369,"$3,704,076,155 @ $38,950.65",2330000311.0,2330000311.0
666077 2021-01-15 06:35:26,2021-01-15 06:35:26,557.0,94815.6511369,"$3,661,636,720 @ $38,618.48",2298506008.0,2298506008.0
665614 2021-01-12 05:02:49,2021-01-12 05:02:49,-1500.001,94258.6511369,"$3,020,358,991 @ $32,043.31",1678738775.0,1678738775.0
