vault_name,current_loan,loan_ceil,timestamp,utilization,fee,amount_coin_locked
UNIV2ETHUSDT-A,6527.07,2006526.96,7/27/2021 10:43:43 AM,0.0033,2.00%,0.00012
UNIV2LINKETH-A,49674.9,2049673.57,7/27/2021 10:43:43 AM,0.0242,3.00%,288.0
UNIV2UNIETH-A,7990720.11,10990576.79,7/27/2021 10:43:43 AM,0.7271,2.00%,23756.0
UNIV2WBTCDAI-A,216816.33,3216816.33,6/24/2021 4:47:02 PM,0.0674,0.00%,0.00906101
PSM-USDC-A,3147789083.86,4129467730.69,7/27/2021 6:40:32 PM,0.7623000000000001,0.10%,3147789084
ETH-A,1386380211.4,1486357830.77,7/28/2021 10:44:55 AM,0.9327,2.00%,2011853
ETH-B,30285377.94,40235295.71,7/28/2021 2:39:29 AM,0.7526999999999999,6.00%,26231
ETH-C,176875199.27,276875199.27,7/28/2021 10:44:55 AM,0.6388,0.50%,344394
BAT-A,1763143.97,2763143.97,7/28/2021 10:44:55 AM,0.6381,4.00%,10465155
WBTC-A,211759806.52,241757573.55,7/28/2021 10:44:55 AM,0.8759,2.00%,15182
ZRX-A,1409790.72,1909790.72,7/28/2021 10:44:55 AM,0.7382,4.00%,8395307
MANA-A,1498018.46,2498018.46,7/28/2021 10:44:55 AM,0.5997,3.00%,17497302
COMP-A,70088.98,2070088.98,7/28/2021 10:44:55 AM,0.0339,1.00%,850
LRC-A,876085.98,1376085.98,7/28/2021 10:44:55 AM,0.6367,4.00%,15284992
LINK-A,32775756.27,39775756.27,7/28/2021 10:44:55 AM,0.8240000000000001,1.00%,6543062
BAL-A,171052.89,3171052.89,7/28/2021 10:44:55 AM,0.053899999999999997,1.00%,29043
YFI-A,18962089.65,25962089.65,7/28/2021 10:44:55 AM,0.7304,1.00%,4243
UNI-A,3857331.59,8857331.59,7/28/2021 10:44:55 AM,0.4355,1.00%,680638
RENBTC-A,2787563.15,3787563.15,7/28/2021 10:44:55 AM,0.736,2.00%,293
AAVE-A,1333047.88,6333047.88,7/28/2021 10:44:55 AM,0.21050000000000002,1.00%,18356
UNIV2DAIETH-A,24523222.88,29523222.88,7/28/2021 10:44:55 AM,0.8306,1.50%,273521
UNIV2WBTCETH-A,9855093.96,12855093.96,7/28/2021 10:44:55 AM,0.7666,2.00%,0.01058052
UNIV2USDCETH-A,7814501.52,12814501.52,7/28/2021 10:44:55 AM,0.6098,2.00%,0.11922789
UNIV2DAIUSDC-A,49544663.52,50000000.0,7/22/2021 6:39:28 PM,0.9909,0.00%,22.63485779
UNIV2ETHUSDT-A,6527.31,2006527.31,7/28/2021 10:44:55 AM,0.0033,2.00%,0.00012000
UNIV2LINKETH-A,49677.59,2049677.59,7/28/2021 10:44:55 AM,0.0242,3.00%,288
UNIV2UNIETH-A,7991009.98,10991009.98,7/28/2021 10:44:55 AM,0.727,2.00%,23756
UNIV2WBTCDAI-A,216816.33,3216816.33,6/24/2021 4:47:02 PM,0.0674,0.00%,0.00906101
