Currency,Date,Closing Price (USD),Volume,Volume in BTC
BTC,2014-12-18,319.413206,39173000.0,122640.5147444029
BTC,2014-12-19,311.661461,23823100.0,76439.0307468911
BTC,2014-12-20,317.473697,20856700.0,65695.8362128501
BTC,2014-12-21,329.231238,15207600.0,46191.24264265592
BTC,2014-12-22,320.776026,22315100.0,69565.98433574958
BTC,2014-12-23,332.252596,16574200.0,49884.33559146668
BTC,2014-12-24,336.089348,15092300.0,44905.61837145758
BTC,2014-12-25,322.967931,9883640.0,30602.543012234855
BTC,2014-12-26,319.076918,16410500.0,51431.172467323384
BTC,2014-12-27,327.553744,15185200.0,46359.41514379393
BTC,2014-12-28,315.527375,11676600.0,37006.61471924583
BTC,2014-12-29,317.127543,12302500.0,38793.53992283162
BTC,2014-12-30,312.392628,12528300.0,40104.33946603887
BTC,2014-12-31,310.527122,13942900.0,44900.74783226181
BTC,2015-01-01,319.869214,8036550.0,25124.487284981416
BTC,2015-01-02,313.357023,7860650.0,25085.28427014064
BTC,2015-01-03,314.686935,33054400.0,105038.99693198258
BTC,2015-01-04,278.265656,55629100.0,199913.63936051098
BTC,2015-01-05,264.081407,43962800.0,166474.4235477358
BTC,2015-01-06,272.849377,23245700.0,85196.08970923178
BTC,2015-01-07,286.887056,24866800.0,86678.01310631457
BTC,2015-01-08,294.815846,19982500.0,67779.5996080889
BTC,2015-01-09,282.486577,18718600.0,66263.67949511456
BTC,2015-01-10,289.279638,15264300.0,52766.58981438576
BTC,2015-01-11,274.555827,18200800.0,66291.80010082248
BTC,2015-01-12,265.591125,18880300.0,71087.84226129545
BTC,2015-01-13,267.656222,72843904.0,272154.7194221399
BTC,2015-01-14,223.729443,97638704.0,436414.1915822854
BTC,2015-01-15,178.016008,81773504.0,459360.3963976094
BTC,2015-01-16,209.304171,38421000.0,183565.38150403128
BTC,2015-01-17,206.268039,23469700.0,113782.53322125199
BTC,2015-01-18,199.864504,30085100.0,150527.47935671458
BTC,2015-01-19,210.386211,18658300.0,88685.9452970518
BTC,2015-01-20,214.001806,24051100.0,112387.36929164047
BTC,2015-01-21,211.078456,29924600.0,141770.0345505654
BTC,2015-01-22,227.33715,33544600.0,147554.41422574356
BTC,2015-01-23,233.37991,24621700.0,105500.51201922222
BTC,2015-01-24,231.856422,24782500.0,106887.27008821002
BTC,2015-01-25,247.35793,33582700.0,135765.6089699651
BTC,2015-01-26,253.469195,106794000.0,421329.3059142749
BTC,2015-01-27,273.677356,44399000.0,162231.1785268782
BTC,2015-01-28,263.666211,44352200.0,168213.438619179
BTC,2015-01-29,234.4223,32213400.0,137416.1075972721
BTC,2015-01-30,232.626299,26605200.0,114368.84012843277
BTC,2015-01-31,226.717513,23348200.0,102983.66319852848
BTC,2015-02-01,215.876652,29128500.0,134931.2198894024
BTC,2015-02-02,226.875133,30612100.0,134929.2872921423
BTC,2015-02-03,238.588696,40783700.0,170937.26854519546
BTC,2015-02-04,227.68914,26594300.0,116800.91549381758
BTC,2015-02-05,227.351834,22516400.0,99037.68799155585
BTC,2015-02-06,216.377484,24435300.0,112929.03285630218
BTC,2015-02-07,222.743024,21604200.0,96991.58973436583
BTC,2015-02-08,228.066991,17145200.0,75176.15734229598
BTC,2015-02-09,223.397506,27791300.0,124402.9107469087
BTC,2015-02-10,220.328613,21115100.0,95834.57959679527
BTC,2015-02-11,220.413957,17201900.0,78043.60592283182
BTC,2015-02-12,219.273532,15206200.0,69348.08711887762
BTC,2015-02-13,221.963409,42744400.0,192574.083235494
BTC,2015-02-14,235.69191,49732500.0,211006.39389786436
BTC,2015-02-15,257.016289,56552400.0,220034.3029620197
BTC,2015-02-16,235.383443,28153700.0,119607.81795514819
BTC,2015-02-17,233.443198,27363100.0,117215.23794409294
BTC,2015-02-18,243.57167,25200800.0,103463.59246130717
BTC,2015-02-19,236.165845,18270500.0,77363.00733918573
BTC,2015-02-20,239.779293,23876700.0,99577.82301076349
BTC,2015-02-21,244.050679,12284200.0,50334.627423839294
BTC,2015-02-22,244.600396,19527000.0,79832.25014893271
BTC,2015-02-23,236.170583,16400000.0,69441.33258120467
BTC,2015-02-24,239.004844,14200400.0,59414.69537747109
BTC,2015-02-25,239.073143,11496200.0,48086.5389384202
BTC,2015-02-26,237.333674,13619400.0,57385.02998946538
BTC,2015-02-27,236.695991,44013900.0,185951.18495268474
BTC,2015-02-28,254.240418,13949300.0,54866.57121528175
BTC,2015-03-01,255.365601,25213700.0,98735.69463257505
BTC,2015-03-02,261.258163,40465700.0,154887.79196537487
BTC,2015-03-03,276.146219,50461300.0,182733.98847441762
BTC,2015-03-04,282.661248,41383000.0,146404.92919637857
BTC,2015-03-05,273.239504,41302400.0,151158.23076592907
BTC,2015-03-06,275.919972,28918900.0,104809.01324533334
BTC,2015-03-07,272.988451,17825900.0,65299.09941135202
BTC,2015-03-08,276.729114,22067900.0,79745.49436095836
BTC,2015-03-09,275.28288,59178200.0,214972.32228898507
BTC,2015-03-10,290.528592,67770800.0,233267.2303729748
BTC,2015-03-11,292.310033,33963900.0,116191.35905608824
BTC,2015-03-12,296.642571,32585200.0,109846.67470401611
BTC,2015-03-13,295.330908,31421500.0,106394.21458725206
BTC,2015-03-14,283.35882,22612300.0,79800.93931785855
BTC,2015-03-15,282.462474,11970100.0,42377.66465219022
BTC,2015-03-16,286.555122,21516100.0,75085.37921021701
BTC,2015-03-17,291.095905,21497200.0,73849.20100473416
BTC,2015-03-18,285.323639,57008000.0,199801.1808618493
BTC,2015-03-19,256.811988,52732000.0,205333.0937183509
BTC,2015-03-20,261.245227,18456700.0,70648.94624849931
BTC,2015-03-21,261.911313,17130100.0,65404.20039053448
BTC,2015-03-22,260.02965,18438100.0,70907.68302768549
BTC,2015-03-23,267.971116,22811900.0,85128.20463829393
BTC,2015-03-24,266.927723,40073700.0,150129.40413087027
BTC,2015-03-25,245.695011,35866900.0,145981.39316715716
BTC,2015-03-26,246.015925,25730000.0,104586.72543251011
BTC,2015-03-27,248.738336,17274900.0,69450.09071701758
BTC,2015-03-28,246.530862,16040900.0,65066.49865200244
BTC,2015-03-29,252.839993,21699400.0,85822.6570192952
BTC,2015-03-30,242.686084,23009600.0,94812.19368144734
BTC,2015-03-31,247.403936,22672000.0,91639.60916127058
BTC,2015-04-01,244.428673,22877200.0,93594.58413457082
BTC,2015-04-02,246.999828,26272600.0,106366.87568867457
BTC,2015-04-03,253.21255,23146600.0,91411.74084775813
BTC,2015-04-04,254.398705,12493500.0,49109.91980088892
BTC,2015-04-05,253.847543,19649200.0,77405.51579811824
BTC,2015-04-06,260.857954,20034200.0,76801.18506181338
BTC,2015-04-07,255.764292,18467400.0,72204.76265701703
BTC,2015-04-08,253.805465,30086400.0,118541.18271251567
BTC,2015-04-09,244.955356,21643500.0,88356.91675996667
BTC,2015-04-10,243.625348,28882000.0,118550.88248042236
BTC,2015-04-11,236.135806,16365200.0,69304.18676107087
BTC,2015-04-12,236.788708,12387900.0,52316.261635246556
BTC,2015-04-13,236.261576,31181800.0,131979.9881466972
BTC,2015-04-14,224.627105,31719000.0,141207.35785647953
BTC,2015-04-15,219.810443,22562000.0,102642.9849832021
BTC,2015-04-16,223.909151,24805400.0,110783.32390264835
BTC,2015-04-17,228.23524,20429800.0,89512.03153378067
BTC,2015-04-18,222.329594,12939000.0,58197.3805970248
BTC,2015-04-19,223.041124,15021500.0,67348.56662576718
BTC,2015-04-20,222.085733,18364700.0,82691.93951328697
BTC,2015-04-21,224.23028,24978000.0,111394.41113840646
BTC,2015-04-22,235.339103,23847900.0,101334.2011420856
BTC,2015-04-23,234.104639,17036000.0,72770.8774707365
BTC,2015-04-24,236.008938,21448700.0,90880.88011310826
BTC,2015-04-25,231.086402,13957200.0,60398.188206677776
BTC,2015-04-26,226.098491,28943700.0,128013.68055127798
BTC,2015-04-27,219.515292,38574000.0,175723.52089256726
BTC,2015-04-28,227.074393,21469200.0,94546.98839600114
BTC,2015-04-29,225.216036,18936500.0,84081.490538267
BTC,2015-04-30,225.062381,33818600.0,150263.22857572543
BTC,2015-05-01,236.122786,18815300.0,79684.38929057868
BTC,2015-05-02,231.504339,12535500.0,54148.013182595256
BTC,2015-05-03,234.69621,18494100.0,78800.1646894937
BTC,2015-05-04,239.889759,21223400.0,88471.47159791844
BTC,2015-05-05,238.52921,23929100.0,100319.36969061357
BTC,2015-05-06,235.953669,29587200.0,125394.10862053602
BTC,2015-05-07,229.248823,29064400.0,126781.0216848965
BTC,2015-05-08,237.252183,27445500.0,115680.70587573898
BTC,2015-05-09,244.166836,19790500.0,81053.1861091897
BTC,2015-05-10,242.122048,15019100.0,62031.11250735827
BTC,2015-05-11,240.314888,20892300.0,86937.18551469853
